SPECTRUM - MS
20210126_ADHclean.RAW
FTMS + p NSI Full ms [1500.0000-15000.0000]
Scan #: 5-162
RT: 0.13-3.89
AV: 150
Data points: 51817
Mass	Intensity
1551.095028	20.249453
1551.127817	16.797826
1551.160607	12.623869
1551.193398	8.385176
1551.226190	5.408668
1551.258983	5.407262
1551.291777	6.443116
1551.324572	6.277492
1551.357368	4.853459
1551.390165	4.961409
1551.422963	5.115061
1551.455762	4.367313
1551.488563	4.142902
1551.521364	2.662081
1551.554166	0.019574
1551.586970	0.000000
1551.619774	0.000000
1551.652579	0.000000
1551.685386	0.000000
1552.341734	0.000000
1552.374563	0.000000
1552.407392	0.000000
1552.440223	0.000000
1552.473054	0.516180
1552.505887	1.036592
1552.538720	22.767011
1552.571555	44.668833
1552.604390	140.358118
1552.637227	236.639989
1552.670065	333.080572
1552.702904	501.472893
1552.735743	692.124012
1552.768584	860.255983
1552.801426	830.741912
1552.834269	682.410617
1552.867113	446.631979
1552.899958	242.739936
1552.932804	137.184961
1552.965651	41.941595
1552.998499	20.749378
1553.031349	0.090036
1553.064199	0.000000
1553.097050	0.000000
1553.129903	0.000000
1553.162756	0.000000
1553.392759	0.000000
1553.425620	0.000000
1553.458483	0.000000
1553.491347	0.000000
1553.524212	6.027121
1553.557078	12.101415
1553.589944	71.731617
1553.622812	131.778210
1553.655681	207.640823
1553.688551	307.044751
1553.721423	475.057775
1553.754295	663.082767
1553.787168	735.388997
1553.820042	688.236491
1553.852917	500.365773
1553.885794	299.284944
1553.918671	141.561477
1553.951549	69.601589
1553.984429	40.015595
1554.017309	8.218596
1554.050191	7.483193
1554.083073	5.039084
1554.115957	3.667903
1554.148842	3.847081
1554.181727	4.727755
1554.214614	14.957118
1554.247502	28.531581
1554.280391	38.550454
1554.313281	38.971961
1554.346171	29.861558
1554.379063	14.015189
1554.411956	4.381615
1554.444850	1.194621
1554.477746	8.495712
1554.510642	14.736764
1554.543539	17.405906
1554.576437	18.451836
1554.609336	15.955182
1554.642237	11.111541
1554.675138	15.448740
1554.708040	46.073047
1554.740944	113.478518
1554.773848	162.030162
1554.806754	169.875436
1554.839661	128.329967
1554.872568	63.566999
1554.905477	8.883177
1554.938387	3.502994
1554.971297	6.631000
1555.004209	8.430606
1555.037122	8.460932
1555.070036	5.739999
1555.102951	1.363734
1555.135867	0.002963
1555.168784	0.000000
1555.201702	0.000000
1555.234621	0.000000
1555.267541	0.000000
1555.399232	0.000000
1555.432158	0.000000
1555.465084	0.000000
1555.498012	0.000000
1555.530940	1.552861
1555.563870	3.297190
1555.596800	3.906198
1555.629732	2.846785
1555.662665	1.106606
1555.695598	0.007213
1555.728533	3.547011
1555.761469	6.933741
1555.794406	8.469972
1555.827344	6.872822
1555.860283	3.377102
1555.893223	0.009272
1555.926164	0.000000
1555.959106	0.000000
1555.992049	0.000000
1556.024994	0.000000
1559.456913	0.000000
1559.489968	0.000000
1559.523023	0.000000
1559.556079	0.000000
1559.589137	8.527282
1559.622195	17.107325
1559.655255	47.649161
1559.688316	78.326749
1559.721377	109.850449
1559.754440	183.889773
1559.787504	247.743698
1559.820569	284.665296
1559.853634	252.454003
1559.886701	183.085766
1559.919769	92.804575
1559.952838	47.543714
1559.985908	24.556649
1560.018980	1.696286
1560.052052	0.832808
1560.085125	0.000000
1560.118199	0.000000
1560.151275	0.000000
1560.184351	0.000000
1560.449000	0.000000
1560.482086	0.000000
1560.515173	0.000000
1560.548261	0.000000
1560.581350	3.520073
1560.614440	7.060387
1560.647531	19.805007
1560.680623	32.604250
1560.713717	44.860609
1560.746811	72.064341
1560.779906	113.307397
1560.813003	147.740900
1560.846100	147.337802
1560.879198	118.171465
1560.912298	67.936005
1560.945399	30.382555
1560.978500	13.940300
1561.011603	0.000000
1561.044707	0.000000
1561.077812	0.000000
1561.110917	0.000000
1561.342688	0.000000
1561.375802	0.000000
1561.408918	0.000000
1561.442034	0.000000
1561.475152	2.470407
1561.508270	4.205375
1561.541390	4.547349
1561.574510	3.312215
1561.607632	1.495353
1561.640755	1.744015
1561.673878	3.482818
1561.707003	4.521199
1561.740129	6.826292
1561.773256	12.502729
1561.806384	18.136486
1561.839513	19.641272
1561.872643	16.594087
1561.905774	10.317873
1561.938907	3.678686
1561.972040	1.829477
1562.005174	0.000000
1562.038309	0.000000
1562.071446	0.000000
1562.104583	0.000000
1562.336575	0.000000
1562.369721	0.000000
1562.402868	0.000000
1562.436016	0.000000
1562.469165	1.847550
1562.502315	3.236384
1562.535467	3.743741
1562.568619	3.019437
1562.601772	1.571467
1562.634927	0.004663
1562.668082	0.000000
1562.701238	0.000000
1562.734396	1.043529
1562.767554	2.758681
1562.800714	4.131340
1562.833875	4.107125
1562.867037	2.678162
1562.900199	0.011971
1562.933363	0.000000
1562.966528	0.000000
1562.999694	0.000000
1563.032861	0.000000
1563.364589	0.000000
1563.397768	0.000000
1563.430948	0.000000
1563.464129	0.000000
1563.497310	1.613841
1563.530493	2.988166
1563.563677	3.774655
1563.596862	3.348325
1563.630048	1.915976
1563.663235	0.005809
1563.696423	0.000000
1563.729613	4.294641
1563.762803	9.848566
1563.795994	14.883332
1563.829186	15.813376
1563.862380	11.849755
1563.895574	3.979978
1563.928770	0.000000
1563.961967	0.000000
1563.995164	1.475629
1564.028363	3.370553
1564.061563	4.158855
1564.094764	3.253923
1564.127965	1.505154
1564.161168	0.004076
1564.194372	0.000000
1564.227577	0.000000
1564.260784	0.000000
1564.293991	0.000000
1564.592903	0.000000
1564.626121	0.000000
1564.659339	0.000000
1564.692559	0.000000
1564.725780	1.642467
1564.759002	2.975251
1564.792225	3.689421
1564.825449	3.211259
1564.858674	1.806467
1564.891901	0.001253
1564.925128	0.000000
1564.958356	0.000000
1564.991586	0.000000
1565.024816	0.000000
1565.058048	2.121687
1565.091280	3.180003
1565.124514	3.699948
1565.157748	3.430562
1565.190984	2.434611
1565.224221	0.000000
1565.257459	0.000000
1565.290698	0.000000
1565.323938	0.000000
1565.556647	0.000000
1565.589896	0.000000
1565.623145	0.000000
1565.656396	0.000000
1565.689647	1.540804
1565.722900	2.886108
1565.756154	3.652472
1565.789409	3.414548
1565.822664	2.353867
1565.855921	0.005309
1565.889179	0.000000
1565.922438	0.000000
1565.955698	0.000000
1565.988960	0.000000
1568.219873	0.000000
1568.253207	0.000000
1568.286541	0.000000
1568.319877	0.000000
1568.353213	1.604474
1568.386551	3.105952
1568.419889	3.827289
1568.453229	3.168286
1568.486570	1.505303
1568.519912	0.004401
1568.553255	0.000000
1568.586598	0.000000
1568.619943	0.000000
1568.653290	0.000000
1568.920096	0.000000
1568.953452	0.000000
1568.986809	0.000000
1569.020167	0.000000
1569.053525	1.753902
1569.086885	3.366771
1569.120246	3.990547
1569.153608	3.092453
1569.186971	1.367467
1569.220336	0.000000
1569.253701	1.854971
1569.287067	3.912031
1569.320434	5.106987
1569.353803	4.592177
1569.387172	2.801378
1569.420543	0.008189
1569.453915	0.000000
1569.487287	0.000000
1569.520661	0.000000
1569.554036	1.113787
1569.587412	2.231180
1569.620789	3.539663
1569.654167	6.228598
1569.687546	12.003993
1569.720926	22.288234
1569.754307	27.683963
1569.787689	26.560555
1569.821072	18.468125
1569.854457	7.441817
1569.887842	1.269149
1569.921229	0.000000
1569.954616	0.000000
1569.988005	0.000000
1570.021395	5.829776
1570.054786	12.641459
1570.088177	18.209308
1570.121570	18.584145
1570.154964	13.245465
1570.188359	4.304656
1570.221755	0.010909
1570.255153	0.000000
1570.288551	0.000000
1570.321950	2.416315
1570.355350	12.301842
1570.388752	28.369571
1570.422154	40.423556
1570.455558	40.614699
1570.488963	27.182871
1570.522368	10.930784
1570.555775	0.015060
1570.589183	0.000000
1570.622592	1.260630
1570.656002	2.525284
1570.689413	23.223643
1570.722825	60.479241
1570.756238	90.931757
1570.789652	97.519735
1570.823068	73.829301
1570.856484	34.975990
1570.889901	6.310742
1570.923320	2.942919
1570.956739	1.465135
1570.990160	0.000000
1571.023582	4.171292
1571.057004	7.297634
1571.090428	9.302702
1571.123853	8.629324
1571.157279	5.651267
1571.190706	2.055779
1571.224134	0.003899
1571.257563	0.000000
1571.290994	0.000000
1571.324425	0.000000
1571.357857	2.708454
1571.391291	5.472148
1571.424725	7.467139
1571.458161	7.167671
1571.491597	4.647861
1571.525035	1.523334
1571.558474	0.000000
1571.591914	0.000000
1571.625354	0.000000
1571.658796	0.000000
1572.361324	0.000000
1572.394790	0.000000
1572.428256	0.000000
1572.461724	0.000000
1572.495192	1.651395
1572.528662	3.723368
1572.562133	5.067316
1572.595605	4.670068
1572.629078	2.840821
1572.662552	0.962094
1572.696027	0.000000
1572.729503	3.161470
1572.762980	12.030490
1572.796458	20.153035
1572.829938	23.188243
1572.863418	19.014799
1572.896900	10.599085
1572.930382	1.757617
1572.963866	0.000000
1572.997350	1.371732
1573.030836	10.492174
1573.064323	16.462391
1573.097811	18.583549
1573.131300	15.488481
1573.164790	10.609421
1573.198281	4.610798
1573.231773	4.002773
1573.265266	5.016443
1573.298761	7.564861
1573.332256	9.375961
1573.365753	9.089946
1573.399250	7.484042
1573.432749	4.688551
1573.466248	2.003989
1573.499749	2.719668
1573.533251	3.368308
1573.566754	4.403195
1573.600258	4.237535
1573.633763	2.928077
1573.667269	0.000000
1573.700776	0.000000
1573.734284	2.577278
1573.767794	7.963331
1573.801304	11.962123
1573.834815	12.308562
1573.868328	8.933696
1573.901841	2.400272
1573.935356	0.000000
1573.968872	0.000000
1574.002389	1.565372
1574.035906	5.877901
1574.069425	7.950994
1574.102945	7.328205
1574.136466	4.551422
1574.169989	1.447898
1574.203512	0.000000
1574.237036	0.000000
1574.270561	0.000000
1574.304088	0.000000
1574.572338	0.000000
1574.605874	0.000000
1574.639411	0.000000
1574.672949	0.000000
1574.706488	1.205713
1574.740029	3.079580
1574.773570	4.704352
1574.807113	5.043971
1574.840656	3.864032
1574.874201	1.978989
1574.907747	0.000000
1574.941293	0.000000
1574.974841	0.000000
1575.008390	0.000000
1575.411061	0.000000
1575.444624	0.000000
1575.478188	0.000000
1575.511753	0.000000
1575.545319	2.051511
1575.578886	3.702392
1575.612454	4.392767
1575.646023	3.558771
1575.679594	1.796588
1575.713165	0.000000
1575.746738	0.000000
1575.780311	0.000000
1575.813886	0.000000
1576.855233	0.000000
1576.888842	0.000000
1576.922452	0.000000
1576.956063	0.000000
1576.989676	1.234675
1577.023289	2.471571
1577.056903	5.772057
1577.090519	8.331638
1577.124135	9.213895
1577.157753	8.912339
1577.191372	7.011669
1577.224991	4.886160
1577.258612	5.541080
